Nom,Raison sociale,SIREN,Segment,Adresse Toulouse,Gérant,Type dirigeant,Rôle,Nb établissements,Date création,SIREN holding
"SUD OUEST WATCH SA (SOW)","SUD OUEST WATCH SA",319722302,"Bijouterie/Horlogerie","12 PLACE DU CAPITOLE 31000 TOULOUSE","Gaston Gayet",physique,"Gérant",1,1980-10-01,
"TIABEL","TIABEL",983791369,"Bijouterie/Horlogerie","41 RUE CROIX BARAGNON 31000 TOULOUSE","Armand Dorise",physique,"Président de SAS",2,2024-01-16,
"TOULOUSE MONTRES","TOULOUSE MONTRES",905343240,"Bijouterie/Horlogerie","10 RUE PIERRE DE FERMAT 31000 TOULOUSE","Jean-marc Morillon",physique,"Président de SAS",1,2021-11-17,
"TOULOUSE MONTRES","TOULOUSE MONTRES",790612089,"Bijouterie/Horlogerie","10 RUE PIERRE DE FERMAT 31000 TOULOUSE","Jean-marc Morillon",physique,"Gérant",1,2012-12-17,
"TRANSPARENCES   SWAROVSKI","SARL TRANSPARENCES",444796700,"Bijouterie/Horlogerie","CENTRE COMMERCIAL OCCITANIA / K4 92 CHEMIN DE GABARDIE 31200 TOULOUSE","Liliana Chalmeau. (ibarra)",physique,"Gérant",2,2003-02-10,
"TULIPE ROSE","TULIPE ROSE",899938310,"Bijouterie/Horlogerie","7 RUE LAFAYETTE 31000 TOULOUSE","Clement Murat",physique,"Gérant",1,2021-09-01,
"UNE OCCASION EN OR","UNE OCCASION EN OR",948466412,"Bijouterie/Horlogerie","4 RUE JULES DE RESSEGUIER 31000 TOULOUSE","Yolaine De rigaud (de sevin de quincy)",physique,"Président de SAS",1,2023-01-30,
"V FRAYSSINET","V FRAYSSINET",519018436,"Bijouterie/Horlogerie","6 RUE SAINT ANTOINE DU T 31000 TOULOUSE","Valerie Frayssinet (ramon)",physique,"Gérant",2,2009-12-11,
"VICTORIA MAGDALENA","ISLA BELLA",749926341,"Bijouterie/Horlogerie","30 RUE THERON DE MONTAUGE 31200 TOULOUSE","Ollivier Chalmeau",physique,"Directeur Général",2,2012-02-20,
"VINGT ET UN GRAMMES (21G.)","VINGT ET UN GRAMMES",519251425,"Bijouterie/Horlogerie","21 RUE LAFAYETTE 31000 TOULOUSE","Geraldine Tournie (legenne)",physique,"Gérant",3,2010-01-06,
"AGATHE ET ZOE","AGATHE ET ZOE",501691844,"Chaussures","29 RUE CROIX BARAGNON 31000 TOULOUSE","Ariane Dayonnet (node-langlois)",physique,"Gérant",1,2007-11-17,
"ARABESQUE","JULIA IZARD",800066508,"Chaussures","12 RUE BARONIE 31000 TOULOUSE","Pierre Izard",physique,"Gérant",1,2014-01-23,
"ARIE","ARIE",489197178,"Chaussures","25 RUE DE METZ 31000 TOULOUSE","",,"",1,2006-01-01,
"ASM","ASM",444108385,"Chaussures","41 39 RUE SAINT ROME 31000 TOULOUSE","Felix Gabison",physique,"Gérant",3,2002-12-01,
"B.A.B. FOOT WEAR","B.A.B. FOOT WEAR",478522956,"Chaussures","28 AVENUE JOSEPH LE BRIX 31500 TOULOUSE","Alain Bouadana",physique,"Liquidateur",1,2004-09-03,
"BABYBOTTE TROTTY","CHAUSSURES JUNIOR",622780237,"Chaussures","38 RUE DE REMUSAT 31000 TOULOUSE","Patrick Noel",physique,"Gérant",3,1962-01-01,
"BAIAO","CAMOS",321226805,"Chaussures","14 RUE DE LA POMME 31000 TOULOUSE","",,"",4,1981-04-01,
"BARONS PAPILLOM BY B&B","B&B DEVELOPPEMENT",813407806,"Chaussures","14 RUE TEMPONIERES 31000 TOULOUSE","Amine Britel",physique,"Gérant",1,2015-09-21,
"CENTRALE DE CHAUSSURES","BAILLY CHAUSSEUR",570804971,"Chaussures","9 RUE RIVALS 31000 TOULOUSE","Marc Tobelaim",physique,"Président de SAS",2,1957-01-01,
"CHAUSSEZ BEBE JUNIOR","",398137208,"Chaussures","22 RUE DE REMUSAT 31000 TOULOUSE","Jean-luc Lagarde",physique,"",1,1994-09-08,
"CHAUSSURE CASSIEDE AUX PIEDS SENSIB","SOCIETE ESPOSITO",350580437,"Chaussures","39 RUE DE REMUSAT 31000 TOULOUSE","",,"",2,1989-04-15,
"CHAUSSURES MANIK SAS","CHAUSSURES MANIK SAS",730801248,"Chaussures","33 RUE D'ALSACE LORRAINE 31000 TOULOUSE","Pierre Lacabanne",physique,"Président de SAS",2,1973-01-01,
"CITY","CITY",797610219,"Chaussures","43 RUE DES FILATIERS 31000 TOULOUSE","",,"",1,2013-10-01,
"COMEBACK","COMEBACK",901868729,"Chaussures","47 RUE DE LA POMME 31000 TOULOUSE","Jerome Delgado",physique,"Président de SAS",1,2021-07-28,
"DIABOLO MENTHE","SARL DIABOLO MENTHE",514558642,"Chaussures","23/25 23 AVENUE ANTOINE DE SAINT EXUPERY 31400 TOULOUSE","",,"",1,2009-09-01,
"DO MY SHOES","DO MY SHOES",531697514,"Chaussures","7 RUE DES ARTS 31000 TOULOUSE","Dominique Grosjean",physique,"Gérant",1,2011-04-05,
"DORYANN","MATIERE NOBLE",981803620,"Chaussures","19 RUE BOUQUIERES 31000 TOULOUSE","Stéphanie Dah-okimba",physique,"Président de SAS",1,2024-01-02,
"EDEN","PP NEDE",810994947,"Chaussures","42 RUE DE LA POMME 31000 TOULOUSE","Jean-jacques Ghebali",physique,"Président de SAS",2,2015-04-15,
"ELLE BOUTIQUE","ELLE BOUTIQUE",942311804,"Chaussures","5 RUE PAUL VIDAL 31000 TOULOUSE","Elodie Rochereau (lasserre)",physique,"Gérant",1,2025-03-19,
"EPONYME","LOU & LEVAC",808395594,"Chaussures","27 RUE GABRIEL PERI 31000 TOULOUSE","Marie-christine Le vacon (christodoulou)",physique,"Président de SAS",1,2015-01-15,
"EURL MARIE CLAUDE BEAUCHET","EURL MARIE CLAUDE BEAUCHET",381978485,"Chaussures","3 B RUE DU REMPART VILLENEUVE 31000 TOULOUSE","Marie Beauchet (thomire)",physique,"Liquidateur",1,1991-04-05,
"EXCKLUSIVE","CJK",828114918,"Chaussures","20 RUE SAINTE URSULE 31000 TOULOUSE","Kendy Cyrille",physique,"Gérant",1,2017-02-24,
"FILAUSAEL","FILAUSAEL",320838634,"Chaussures","5 RUE D'AUSTERLITZ 31000 TOULOUSE","",,"",1,1981-01-01,
"FLORENCE KOOIJMAN","FLORENCE KOOIJMAN BORDEAUX",497806984,"Chaussures","8 RUE BARONIE 31000 TOULOUSE","Florence Blancquart",physique,"Gérant",2,2007-05-02,
"FLORENCE KOOIJMAN TOULOUSE","FLORENCE KOOIJMAN TOULOUSE",493444210,"Chaussures","8 RUE BARONIE 31000 TOULOUSE","",,"",1,2006-08-29,
"GABOR","STEINMETZ DISTRIBUTION",791511892,"Chaussures","54 RUE D'ALSACE LORRAINE 31000 TOULOUSE","Claude Steinmetz",physique,"Directeur Général",3,2013-02-06,
"HANDY","HANDY",334991056,"Chaussures","4 RUE DE LA POMME 31000 TOULOUSE","Lauren Handy",physique,"Directeur Général",4,1986-03-04,
"HS & TG","HS & TG",829202886,"Chaussures","3 RUE TEMPONIERES 31000 TOULOUSE","Thibault Gobbi",physique,"Gérant",1,2017-04-03,
"I LOVE SCARPE","SCARPE",811924067,"Chaussures","3 RUE TEMPONIERES 31000 TOULOUSE","Alienor Lacroix",physique,"Président de SAS",1,2015-07-09,
"INDEMODABLE","LC PURPAN",890807233,"Chaussures","36 - 54 - CC CARREFOUR PURPAN 36 ROUTE DE BAYONNE 31300 TOULOUSE","LOICAR",morale,"Président de SAS",1,2020-10-13,841432925
"ISA DEJEAN","ISA DEJEAN",922282827,"Chaussures","APPARTEMENT B51 1 RUE EMILE HEYBRARD 31300 TOULOUSE","Isabelle Dejean",physique,"Président de SAS",3,2022-12-09,
"ITALIANA CHAUSSURES","ITALIANA CHAUSSURES",518267497,"Chaussures","14 BARRIERE DE LOMBEZ 31100 TOULOUSE","",,"",2,2009-11-23,
"JEA2CE","",921142345,"Chaussures","68 RUE ADONIS 31200 TOULOUSE","Jeanne Bonin",physique,"",1,2022-11-10,
"JET SET","HAY",329130843,"Chaussures","GALERIES LAFAYETTE CAPITOL 10 RUE BELLEGARDE 31000 TOULOUSE","Michel Avron",physique,"Gérant",2,1984-02-11,
"KATOUNI","KATOUNI",510259757,"Chaussures","12 RUE SAINT ROME 31000 TOULOUSE","Alain Salimi pak",physique,"Gérant",2,2009-02-03,
"KOLECTOR BY LES 2 ZEBRES","MACHA",421213687,"Chaussures","5 RUE BARONIE 31000 TOULOUSE","Antoine Charieras",physique,"Président de SAS",1,1998-12-04,
"LA SCARPETTA","DESSINE MOI UN CHAUSSON",811598770,"Chaussures","5 RUE DES LOIS 31000 TOULOUSE","Fabienne Lassignardie",physique,"Gérant",1,2015-05-20,
"LE SENS DE LA MARCHE","IDLR",524677457,"Chaussures","10 RUE RIVALS 31000 TOULOUSE","Isabelle Coulomb-mauviere (coulomb)",physique,"Gérant",1,2010-09-30,
"LES BELLES CHAUSSURES","FREGA",507613941,"Chaussures","34 RUE DE METZ 31000 TOULOUSE","",,"",1,2008-08-07,
"MARYLINE MORAIS (PODIO)","",319108288,"Chaussures","125 RUE DU FAUBOURG BONNEFOY 31500 TOULOUSE","Maryline Morais (podio)",physique,"",2,1995-09-04,
"MEPHISTO","ETABLISSEMENTS DEJEAN ET FILS",690801311,"Chaussures","ET 2 BIS RUE ALSACE LORRAINE 30 RUE DE METZ 31000 TOULOUSE","Isabelle Dejean",physique,"Directeur Général",1,1969-01-01,
"MINI SHOES","LE CARRE",504457177,"Chaussures","22 PLACE SAINT GEORGES 31000 TOULOUSE","Xuan Phan dinh",physique,"Gérant",1,2008-05-29,
"MODI-IN","MODI-IN",404952335,"Chaussures","36 RUE D'ALSACE LORRAINE 31000 TOULOUSE","Celine Tobalaim",physique,"Gérant",2,1996-04-01,
"MOSQUITOS","L DISTRIBUTION",444997753,"Chaussures","12 B RUE DE LA POMME 31000 TOULOUSE","Laurent Bensimon",physique,"Président de SAS",2,2003-01-02,
"MY'SHOES","MY'SHOES COMPANY",751660846,"Chaussures","LOCAL 20/21 CTRE COMMERCIAL ST GEORGES 51 B RUE DU REMPART SAINT ETIENNE 31000 TOULOUSE","",,"",1,2012-05-07,
"NEW CASTING","P & G",793787037,"Chaussures","19 RUE SAINT ROME 31000 TOULOUSE","Qian Gan (han)",physique,"Gérant",1,2013-03-18,
"NUDE BY EMI","EMILIE MORENO",789744380,"Chaussures","12 RUE LEON GAMBETTA 31000 TOULOUSE","Emilie Moreno",physique,"Gérant",1,2012-12-04,
"O CROQ BAGUETTE","",505392779,"Chaussures","35 AVENUE DES ETATS UNIS 31200 TOULOUSE","Claude Belhadi (letterio)",physique,"",2,2008-08-24,
"ODETE PEREIRA DOS SANTOS","",800551376,"Chaussures","APT 09 96 BOULEVARD JEAN BRUNHES 31300 TOULOUSE","Odete Pereira dos santos",physique,"",1,2014-02-20,
"PARALLELE","FRALTIS",440867224,"Chaussures","35 RUE BOULBONNE 31000 TOULOUSE","Alain Sanz",physique,"Gérant",4,2002-02-01,
"PAYOTE","PAYOTINE",912767100,"Chaussures","58 RUE DES TOURNEURS 31000 TOULOUSE","Olivier Gelly",physique,"Président de SAS",1,2022-04-12,
"PEPITERS","",913785119,"Chaussures","2EME ETAGE APPARTEMENT 23 117 AVENUE DE CASTRES 31500 TOULOUSE","Benoit Crotet",physique,"",1,2022-06-01,
"PETIT PAS","A.P.P.A",830367322,"Chaussures","5 RUE DU FOURBASTARD 31000 TOULOUSE","Xavier Eychenne",physique,"Président de SAS",1,2017-06-16,
"PETITES FRIPOUILLES","PETITES FRIPOUILLES",839018827,"Chaussures","22 RUE PEYRAS 31000 TOULOUSE","Vincent Elharar",physique,"Gérant",1,2018-04-13,
"PLEIN CENTRE","PLEIN CENTRE",352065577,"Chaussures","40 RUE DE METZ 31000 TOULOUSE","",,"",2,1989-07-31,
"POINTURE","AG TOULOUSE",994314177,"Chaussures","23 RUE BOULBONNE 31000 TOULOUSE","Audrey Garcia",physique,"Président de SAS",1,2025-11-17,
"POL LE DUFF DIFFUSION","POL LE DUFF DIFFUSION",327059531,"Chaussures","83 RUE DU FAUBOURG BONNEFOY 31500 TOULOUSE","Laurent Le duff",physique,"Président de SAS",3,1983-03-01,
"POMPETTE","SARL POMPETTE",492906466,"Chaussures","28 AVENUE ETIENNE BILLIERES 31300 TOULOUSE","Sabine Poussy",physique,"Gérant",1,2007-01-30,
"PTITE SEMELLE TOULOUSE CENTRE","INFINIE CONCEPT",832782742,"Chaussures","22 RUE DE REMUSAT 31000 TOULOUSE","Dope Jondoh",physique,"Gérant",2,2017-10-26,
"ROBERTO GIANNELLI","ROBERTO GIANNELLI",788804342,"Chaussures","20 RUE DU LANGUEDOC 31000 TOULOUSE","Carole Reynaud (lefevre)",physique,"Gérant",1,2012-11-01,
"SERHA","SERHA",532946712,"Chaussures","37 RUE DE METZ 31000 TOULOUSE","Nathalie Serfati (marciano)",physique,"Gérant",2,2011-06-01,
"SOCIETE KARINE IZARD","SOCIETE KARINE IZARD",480793199,"Chaussures","11 RUE PAUL VIDAL 31000 TOULOUSE","Pierre Izard",physique,"Gérant",1,2005-01-01,
"SOLE BY RICE AND BEANS","SOLE BY RICE AND BEANS",788581445,"Chaussures","11 PLACE DE LA TRINITE 31000 TOULOUSE","",,"",1,2012-10-05,
"SYSTER'S","DAC",538812199,"Chaussures","17 RUE DES CHANGES 31000 TOULOUSE","Alex Dai",physique,"Gérant",1,2011-12-22,
"SYSTER'S","SYSTER'S",483479465,"Chaussures","17 RUE DES CHANGES 31000 TOULOUSE","",,"",2,2005-07-25,
"TILL","TILLAMY",401862255,"Chaussures","40 RUE DE METZ 31000 TOULOUSE","Yann Bellamy",physique,"Président de SAS",1,1995-07-10,
"TIMBERLAND","TBL 31",840571533,"Chaussures","45 RUE DES TOURNEURS 31000 TOULOUSE","Guillaume Huguet",physique,"Gérant",1,2018-06-08,
"TK CLOTHING","TK CLOTHING",484774526,"Chaussures","DELTA CENTER 15 CHEMIN DE LA CRABE 31300 TOULOUSE","Emmanuelle Monnerie",physique,"Gérant",1,2005-10-14,
"UNIKA","YANG",989721857,"Chaussures","29 RUE DES CHANGES 31000 TOULOUSE","Cédric Yang",physique,"Gérant",1,2025-08-01,
"UNIKA","UNIKA",519575856,"Chaussures","29 RUE DES CHANGES 31000 TOULOUSE","Daniel Zhou",physique,"Liquidateur",2,2010-02-15,
"UPPER","LE BOUIF",501490395,"Chaussures","22 RUE CROIX BARAGNON 31000 TOULOUSE","Didier Foissard",physique,"Gérant",1,2007-12-01,
"VIA UNO","JAKALI",504446410,"Chaussures","9 RUE SAINT ROME 31000 TOULOUSE","Jadir Bergonsi",physique,"Gérant",5,2008-05-14,
"VIOLETTE","CRUSH",945203867,"Chaussures","24 RUE DU FOURBASTARD 31000 TOULOUSE","CRUZ VENTURES",morale,"",1,2025-05-23,894579952
"YASSER LASSAR","",497852061,"Chaussures","175 ROUTE DE LAUNAGUET 31200 TOULOUSE","Abdelkader Lassar",physique,"",1,2007-05-15,
"[ND]","",853589398,"Cosmétique/Beauté","55 B CHEMIN DU LOUP 31100 TOULOUSE","Emilie Fournier (dudon)",physique,"",2,2019-09-04,
"ABSAMY","BEAUTE CAPILLAIRE ABSAMY",811869353,"Cosmétique/Beauté","18 RUE DE LA REPUBLIQUE 31300 TOULOUSE","Absatou Thiam",physique,"Gérant",1,2015-06-08,
"ACTIV' EXTENSION","ACTIV' EXTENSION",801643941,"Cosmétique/Beauté","196 ROUTE DE SEYSSES 31100 TOULOUSE","Corinne Catherine",physique,"Président de SAS",1,2014-04-15,
"ADOPT'","ACOS",918367731,"Cosmétique/Beauté","CTRE CCIAL CARREFOUR TLSE P 36-54 36 RTE DE BAYONNE 31000 TOULOUSE","JSI",morale,"Président de SAS",5,2022-08-12,839956661
"AMAL JEBBAR","",509939930,"Cosmétique/Beauté","69 RUE DU FERETRA 31400 TOULOUSE","Amal Jebbar",physique,"",1,2009-01-26,
"AMANDINE DECLERCQ (LES FEES BOTTEES)","",752576694,"Cosmétique/Beauté","3 RUE ESPINASSE 31000 TOULOUSE","Amandine Declercq (declercq)",physique,"",1,2012-07-10,
"AMBIANCES ET SENTEURS","AMBIANCES ET SENTEURS",808837157,"Cosmétique/Beauté","39 RUE DES FILATIERS 31000 TOULOUSE","Eric Gras",physique,"Gérant",1,2014-11-17,
"ASH COSMETIQUES","",892538539,"Cosmétique/Beauté","33 CHEMIN SAVIT 31100 TOULOUSE","Anissa Bouachria",physique,"",1,2021-01-11,
"ATLAS","ATLAS",920943362,"Cosmétique/Beauté","BATIMENT IV 244 ROUTE DE SEYSSES 31100 TOULOUSE","Mehdi Dris",physique,"Président de SAS",1,2022-10-25,
"BB ONGLE","BBG",808272439,"Cosmétique/Beauté","14 B RUE MAURY 31000 TOULOUSE","Bin Zhen",physique,"Gérant",1,2014-12-15,
"BE UP","COSMETICS DEVELOPPEMENT",800979577,"Cosmétique/Beauté","21 RUE D'ALSACE LORRAINE 31000 TOULOUSE","Isabelle Dubois (menada)",physique,"Gérant",4,2014-03-01,
"BEAUTE BIO","BEAUTE BIO",507762862,"Cosmétique/Beauté","1 RUE DE LA SAINTE FAMILLE 31200 TOULOUSE","",,"",2,2008-08-25,
"BEAUTE EN VOGUE","",830064358,"Cosmétique/Beauté","APPT 6 20 AVENUE DES MINIMES 31200 TOULOUSE","Blanche Holouali (holouali)",physique,"",1,2017-07-06,
"BODY MINUTE","MADUBODY",808435028,"Cosmétique/Beauté","CENTRE COMMERCIAL CARREFOUR PURPAN 54 ROUTE DE BAYONNE 31300 TOULOUSE","Elodie Maza (duron)",physique,"Président de SAS",1,2014-11-13,
"BODY SEA TOUCH","BODY SEA TOUCH",528145832,"Cosmétique/Beauté","121 RUE ACHILLE VIADIEU 31400 TOULOUSE","",,"",2,2010-12-01,
"BRUNO FLAUJAC","FLAUJAC GRAMONT",834119059,"Cosmétique/Beauté","66 CHEMIN DE NICOL 31200 TOULOUSE","Bruno Flaujac (flaujac)",physique,"Gérant",1,2017-12-07,
"CHRISTIAN MBELLA MAKEMBE","",520061292,"Cosmétique/Beauté","10 RUE CLAIRE PAUILHAC 31000 TOULOUSE","Christian Mbella makembe",physique,"",1,2010-03-01,
"CIMACOSM","CIMACOSM",519488779,"Cosmétique/Beauté","20 CHEMIN DE MALEPERE 31400 TOULOUSE","Patrick Cimadore",physique,"Liquidateur",2,2010-01-02,
"CLOWEN","CLOWEN",499159085,"Cosmétique/Beauté","34 RUE DE BAYARD 31000 TOULOUSE","",,"",1,2007-07-18,
"COIF'COSMETIC","COIF'COSMETIC",849755285,"Cosmétique/Beauté","332 ROUTE DE SEYSSES 31100 TOULOUSE","Youssef Bahbah",physique,"Gérant",2,2019-04-02,
"CONCEPT TOULOUSE","CONCEPT TOULOUSE",949677249,"Cosmétique/Beauté","9 RUE BOULBONNE 31000 TOULOUSE","Mattia Bono",physique,"Gérant",2,2023-03-20,
"COSMETIC LOVERS","COSMETIC LOVERS",795374412,"Cosmétique/Beauté","58 RUE DE LA REPUBLIQUE 31300 TOULOUSE","Laurence Sarini",physique,"Président de SAS",1,2013-01-01,
"COSMO","COSMO",849438445,"Cosmétique/Beauté","92 CHEMIN DE GABARDIE 31200 TOULOUSE","Meline Coupe",physique,"Président de SAS",1,2019-02-06,
"COSMYA","COSMYA",880325774,"Cosmétique/Beauté","33 RUE SAINT ROME 31000 TOULOUSE","FI2C",morale,"Président de SAS",1,2019-12-20,493818934
"COTE SOURIRE","COTE SOURIRE",532955499,"Cosmétique/Beauté","28 RUE DES FILATIERS 31000 TOULOUSE","",,"",1,2011-06-24,
"DEESS","DEESS",917636961,"Cosmétique/Beauté","153 RUE HENRI DESBALS 31100 TOULOUSE","Dalila Kahlouch",physique,"Président de SAS",1,2022-07-15,
"DERMEAL","DERMEAL",794438697,"Cosmétique/Beauté","IMMEUBLE BUROSPACE 251 ROUTE DE BAYONNE 31300 TOULOUSE","Francois Ardiet",physique,"Président de SAS",2,2013-07-19,
"DIALLO DIALLO GOUDOUS","DIALLO DIALLO GOUDOUS",878266683,"Cosmétique/Beauté","24 RUE DE LA REPUBLIQUE 31300 TOULOUSE","Abdoul Diallo",physique,"Gérant",1,2019-09-18,
"DIVINE COSMETICS","DIVINE COSMETICS",484303904,"Cosmétique/Beauté","12 AVENUE ETIENNE BILLIERES 31300 TOULOUSE","",,"",1,2005-10-29,
"DIVINE HAIR BEAUTY","DIVINE HAIR BEAUTY",990203333,"Cosmétique/Beauté","22 RUE DE LA REPUBLIQUE 31300 TOULOUSE","Fred Oumba",physique,"Président de SAS",1,2025-08-01,
"ESPACE EXTENSIONS","ESPACE EXTENSIONS",882939929,"Cosmétique/Beauté","12 PLACE OCCITANE 31000 TOULOUSE","Nelly Jacob",physique,"Président de SAS",1,2020-05-01,
"ESTHER MICHELE","BOTE",818920985,"Cosmétique/Beauté","35 RUE CROIX BARAGNON 31000 TOULOUSE","Isabelle Bouygue",physique,"Président de SAS",2,2016-03-08,
"EURL OLFA","EURL OLFA",527926133,"Cosmétique/Beauté","152 RUE NICOLAS-LOUIS VAUQUELIN 31100 TOULOUSE","",,"",1,2010-10-01,
"EYM BEAUTY","YM BEAUTY",897417416,"Cosmétique/Beauté","45 RUE DE LA REPUBLIQUE 31300 TOULOUSE","Yosief Mhretab kibrab (mhretab kibrab)",physique,"Gérant",4,2021-03-11,
"F&S GRAMONT","F&S GRAMONT",983929928,"Cosmétique/Beauté","31 RUE DE L'AYGA 31500 TOULOUSE","Florian Renon",physique,"Président de SAS",1,2024-01-23,
"FAN SHENG","FAN SHENG",809490519,"Cosmétique/Beauté","28 RUE ANTOINE PUGET 31200 TOULOUSE","Seng Trin",physique,"Gérant",1,2015-01-17,
"FERNANDO STYLE","FERNANDO STYLE",818005365,"Cosmétique/Beauté","14 RUE MAURICE FONVIEILLE 31000 TOULOUSE","",,"",1,2015-01-14,
"FIFTIES COSMETICS","FIFTIES INC",811454644,"Cosmétique/Beauté","46 ALLEE MAURICE SARRAUT 31300 TOULOUSE","Cecile Issartel",physique,"Gérant",1,2015-06-15,
"FLASH WORLD AFRICA","FLASH WORLD AFRICA",434894671,"Cosmétique/Beauté","6 RUE DU PONT SAINT PIERRE 31300 TOULOUSE","",,"",1,2001-04-01,
"FLORILEGE COSMETIQUES ET EXTENSIONS","FLORILEGE COSMETIQUES ET EXTENSIONS",789584752,"Cosmétique/Beauté","4 PROMENADE DES CAPITOULS 31000 TOULOUSE","Viviane Dedje-deheune",physique,"Gérant",1,2012-12-01,
"G.O.B.S","G.O.B.S",518721824,"Cosmétique/Beauté","52 BOULEVARD GABRIEL KOENIGS 31300 TOULOUSE","Frederic Desiderio",physique,"Gérant",1,2009-12-01,
"GLORY STYLE COSMETIC","GLORY STYLE COSMETIC",804284347,"Cosmétique/Beauté","38 RUE DES ANGES 31200 TOULOUSE","Soussou Zie",physique,"Gérant",1,2014-09-01,
"HABESHA","HABESHA",980687842,"Cosmétique/Beauté","27 RUE DE LA REPUBLIQUE 31300 TOULOUSE","Meron Gelashe",physique,"Président de SAS",1,2023-10-10,
"HAIR & COSMETIC WORLD","HAIR & COSMETIC WORLD",838160489,"Cosmétique/Beauté","2 RUE VILLEMUR 31200 TOULOUSE","Regine Melounou andengue",physique,"Président de SAS",1,2018-02-26,
"HAMIDA KOUCHA","",940542640,"Cosmétique/Beauté","BATIMENT C ESCALIER E 5 CHEMIN DE PELLEPORT 31500 TOULOUSE","Hamida Koucha",physique,"",1,2024-05-13,
"HANAD MOHAMED ROBLEH WAIS","",914366547,"Cosmétique/Beauté","30 RUE DES TEINTURIERS 31300 TOULOUSE","Hanad Mohamed robleh wais",physique,"",1,2022-06-02,
"HEMPARIUM","HEMPARIUM",893586354,"Cosmétique/Beauté","24 RUE DE LUPPE 31500 TOULOUSE","Anthony Castro",physique,"Président de SAS",1,2021-01-28,
"IDAM 2","IDAM 2",538132697,"Cosmétique/Beauté","5 AVENUE ETIENNE BILLIERES 31300 TOULOUSE","Cecile Marchal (marchal)",physique,"Gérant",2,2011-11-24,
"INSTITUT DE BEAUTE YVES ROCHER","CAMUS ESTHETIQUE SARL",421534819,"Cosmétique/Beauté","10 RUE D'ALSACE LORRAINE 31000 TOULOUSE","Marie Camus (camus)",physique,"Président de SAS",1,1999-01-05,
"ISACLEM & CO","ISACLEM & CO",797910650,"Cosmétique/Beauté","11 RUE CANTEGRIL 31000 TOULOUSE","Alain Pfister",physique,"Directeur Général",1,2013-10-11,
"JAVA COSMETIC","JAVA COSMETIC",850811555,"Cosmétique/Beauté","21 RUE DE LA REPUBLIQUE 31300 TOULOUSE","Fitsum Abebe",physique,"Président de SAS",2,2019-06-01,
"JEWEL CBD","SAS JEWEL CBD",909161523,"Cosmétique/Beauté","80 RUE DES AMIDONNIERS 31000 TOULOUSE","Ludovic Gonzalez",physique,"Président de SAS",1,2021-12-14,
"JULIANA BEAUTY HAIR","JULIANA BEAUTY HAIR",978118008,"Cosmétique/Beauté","129 RUE DES FONTAINES 31300 TOULOUSE","Nicha Juliana maria",physique,"Liquidateur, Président de SAS",1,2023-07-17,
"KASSIOPIA","KASSIOPIA",789338258,"Cosmétique/Beauté","14 RUE MAURICE FONVIEILLE 31000 TOULOUSE","Saido Hailu (feben)",physique,"Gérant",1,2012-11-05,
"LA PAMPA CBD","LA PAMPA",911741213,"Cosmétique/Beauté","6 RUE DU COQ D'INDE 31000 TOULOUSE","Victor Lege",physique,"Gérant",3,2022-03-16,
"LA SYNPHONIE DES PARFUMS","LA SYNPHONIE DES PARFUMS",345069413,"Cosmétique/Beauté","32 RUE DES FRERES LION 31000 TOULOUSE","",,"",1,1988-05-01,
"LAFAYETTE SANTE BEAUTE","LAFAYETTE SANTE BEAUTE",437581333,"Cosmétique/Beauté","10 BOULEVARD DE STRASBOURG 31000 TOULOUSE","HYGIE31 HOLDING",morale,"Président de SAS",1,2001-04-25,917974388
"LE COMPTOIR DES SAVONNIERS","CDS 31",518392667,"Cosmétique/Beauté","39 RUE DES FILATIERS 31000 TOULOUSE","",,"",1,2009-12-04,
"LE WELWITCHIA","EURL LE WELWITCHIA",498994516,"Cosmétique/Beauté","9 RUE CHARLES GARNIER 31500 TOULOUSE","",,"",2,2007-08-01,
"LOOK TOP AFRICA (LOOK TOP AFRICA)","LOOK TOP AFRICA",451585707,"Cosmétique/Beauté","10 AVENUE JEAN RIEUX 31500 TOULOUSE","",,"",2,2004-01-31,
"LOPEMBE KABENGELE","",512191289,"Cosmétique/Beauté","8 GRANDE-RUE SAINT MICHEL 31400 TOULOUSE","Lopembe Kabengele",physique,"",1,2009-06-01,
"M.L. PURPAN","M.L. PURPAN",820145613,"Cosmétique/Beauté","36-54-CENTRE COMMERCIAL PURPAN 36 ROUTE DE BAYONNE 31300 TOULOUSE","Catherine Canudas (urbain)",physique,"Gérant",2,2016-05-06,
"MADAME MARCHAND","CELU & CIE",828890442,"Cosmétique/Beauté","25 RUE DES CHANGES 31000 TOULOUSE","Karim Djeffal",physique,"Président de SAS",2,2017-04-05,
"MAKEAILI","SARL F2Y",789586658,"Cosmétique/Beauté","28 RUE ANTOINE PUGET 31200 TOULOUSE","",,"",1,2012-11-01,
"MAKEUP SHOW","SAINT ROME ACCESSOIRES",814911608,"Cosmétique/Beauté","21 RUE SAINT ROME 31000 TOULOUSE","Adlen Guedacha-asfour",physique,"Président de SAS",1,2015-11-26,
